function_name,input,expected_output,assignee,notes,testcomplete?
timeadd,"{""col1"":""hour"", ""col2"":2, ""col3"": ""2013-04-05 02:00:00.000""}","""2015-05-08""",roberto,v2,
timediff,"{""col1"":""year"", ""col2"":""2017-01-01"",""col3"":""2019-01-01""}",2,roberto,v1,
timediff,"{""col1"":""month"", ""col2"":""2017-01-01"", ""col3"":""2017-12-31""}",11,roberto,v1,
timestamp_from_parts,,,roberto,v2,
timestamp_ntz_from_parts,,,roberto,v2,
timestampadd,"{""col1"":year"", ""col2"": 2, ""col3"":""2013-05-08""}","""2015-05-08""",roberto,v1,
timestampadd,"{""col1"":""hour"", ""col2"":2, ""col3"":""2013-04-05 00:00:00.000""}",2013-04-05 2:00:00,roberto,v1,
timestampdiff,"{""col1"":""year"",""col2"": ""2017-01-01"",""col3"": ""2019-01-01""}",2,roberto,v1,
timestampdiff,"{""col1"":""month"", ""col2"":""2017-01-01"",""col3"": ""2017-12-31""}",11,roberto,v1,
to_array,1,[1],roberto,v1,yes
to_array,3,[3],,,
to_binary,"(""col1"": ""SNOW"", ""col2"":utf-8"")",534E4F57,roberto,v1,
to_boolean,yes,TRUE,roberto,v1,
to_boolean,no,FALSE,,,
to_boolean,NULL,NULL,,,
to_boolean,1,TRUE,,,
to_boolean,0,FALSE,,,
to_boolean,NULL,NULL,,,
to_char,"{""col1"":'2013-04-05 01:02:03', ""col2"":'mm/dd/yyyy', ""col3"":'hh23:mi hours'}","{""col1"":'04/05/2013', ""col2"":'01:02 hours'}",roberto,v1,
to_char,"{""col1"":""03-May-2013""}",2013-05-03,,,
to_char,"{""col1"":""03-May-2013"", ""col2"":""yyyy.mm.dd""}",2013.05.03,,,
to_number,12.3456,12,roberto,v1 (WIP),
to_number,98.76546,99,,,
to_number,"{12.3456, 10, 1}",12.3,,,
to_number,"{98.76546, 10, 1}",98.8,,,
to_number,"{12.3456, 10, 8}",12.3456,,,
to_number,"{98.76546, 10, 8}",98.7645,,,
to_double,,,roberto,v2,
to_geography,,,roberto,v1 (not supported),
to_decimal,1,,roberto,v1 (WIP),
to_decimal,-12.3,,,,
to_decimal,0,,,,
to_decimal,-0.1,,,,
to_decimal,"{1, '99.9', 9, 5}",1.00000',,,
to_decimal,"{-12.3, '99.9', 9, 5}",-12.30000',,,
to_decimal,"{0.0, '99.9', 9, 5}",0.00000',,,
to_decimal,"{-0.1, '99.9', 9, 5}",-0.10000',,,
to_decimal,"{1, 'TM9', 9, 5}",1.00000',,,
to_decimal,"{1, 'TM9', 9, 5}",-12.30000',,,
to_decimal,"{1, 'TM9', 9, 5}",0.00000',,,
to_decimal,"{1, 'TM9', 9, 5}",-0.10000',,,
to_numeric,12.3456,12,roberto,v1 (WIP),
to_numeric,98.76546,99,,,
to_numeric,"{12.3456, 10, 1}",12.3,,,
to_numeric,"{98.76546, 10, 1}",98.8,,,
to_numeric,"{12.3456, 10, 8}",12.3456,,,
to_numeric,"{98.76546, 10, 8}",98.7645,,,
to_object,,,roberto,v2,
to_time,13:30:00',13:30:00',roberto,v1,
to_time,13:30:00.000',13:30:00',,,
to_time,"{'11.15.00', ''HH24.MI.SS'}",11:15:00',,,
to_timestamp_ltz,,,roberto,v2,
to_timestamp_ntz,todo,,roberto,v1 (WIP),
to_timestamp_tz,todo,,roberto,v1 (WIP),
to_varchar,"{'2013-04-05 01:02:03', 'mm/dd/yyyy', hh23:mi hours""","{'04/05/2013', '01:02 hours'}",roberto,v1,
to_varchar,"{""03-May-2013""}",2013-05-03,,,
to_varchar,"{""03-May-2013"", ""yyyy.mm.dd""}",2013.05.03,,,
to_variant,,,roberto,v2,
truncate,,,roberto,v2,
try_base64_decode_string,,,roberto,v2,
try_cast,"{'05-Mar-2016', 'AS TIMESTAMP'}",2016-03-05 00:00:00:000,roberto,v1,
try_cast,"{'05/2016', 'AS TIMESTAMP'}",NULL,,,
try_cast,"{'ABCD', 'AS CHAR(2)'}",NULL,,,
try_cast,"{'ABCD', 'AS VARCHAR(10)'}",ABCD,,,
try_parse_json,,,roberto,v1 (not supported),
try_to_binary,,,roberto,v2,
try_to_boolean,,,roberto,v2,
try_to_date,,,roberto,v2,
try_to_decimal,345.123,345,roberto,v1 (WIP),
try_to_decimal,"{345.123, 10, 2}",345.12,,,
try_to_decimal,"{345.123, 4, 2}",NULL,,,
try_to_decimal,"{'$345.12', '$999.00'}",345,,,
try_to_decimal,"{'$345.12', '$999.00', 5, 2}",345.12,,,
try_to_decimal,"{'$345.12', 5, 2}",NULL,,,
try_to_number,345.123,345,roberto,v1 (WIP),
try_to_number,"{345.123, 10, 2}",345.12,,,
try_to_number,"{345.123, 4, 2}",NULL,,,
try_to_number,"{'$345.12', '$999.00'}",345,,,
try_to_number,"{'$345.12', '$999.00', 5, 2}",345.12,,,
try_to_number,"{'$345.12', 5, 2}",NULL,,,
try_to_numeric,345.123,345,roberto,v1 (WIP),
try_to_numeric,"{345.123, 10, 2}",345.12,,,
try_to_numeric,"{345.123, 4, 2}",NULL,,,
try_to_numeric,"{'$345.12', '$999.00'}",345,,,
try_to_numeric,"{'$345.12', '$999.00', 5, 2}",345.12,,,
try_to_numeric,"{'$345.12', 5, 2}",NULL,,,
try_to_time,,,roberto,v2,
try_to_timestamp,,,roberto,v2,
try_to_timestamp_ntz,,,roberto,v2,
try_to_timestamp_tz,,,roberto,v2,
unicode,,,roberto,v2,
uniform,,,roberto,v2,
uuid_string,,,roberto,v1 (WIP),
variance_samp,,,roberto,v2,
week, 2016-01-02 23:39:20.123',1,roberto,v1,
week, 2016-01-02 23:39:20.123',53,,,
weekiso,,,roberto,v2,
xmlget,,,roberto,v2,
yearofweek,,,roberto,v2,
yearofweekiso,,,roberto,v2,
zeroifnull,1.00000',1.00000',roberto,v1,
zeroifnull,NULL,0.00000',,,
zeroifnull,5.00000',5.00000',,,
zeroifnull,0.00000',0.00000',,,
zeroifnull,3.14159',3.14159',,,
